Cabinet,Dept,Program,Expense Category,FY22 Actual Expense,FY23 Actual Expense,FY24 Appropriation,FY25 Budget
Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Worker Empowerment Administration,Contractual Services,#Missing,#Missing,290000,410000
Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Worker Empowerment Administration,Other Expenses,#Missing,#Missing,1151660,#Missing
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Personnel Services,7988496.84,10246877.7,7827291.48,8077735.31
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Contractual Services,2557953.23,6240271.46,9837758,14413079
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Supplies & Materials,58996.77,62541.72,68500,95000
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Current Charges & Obligations,44735.04,49221.16,56496,44496
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Equipment,#Missing,4206.49,4500,0
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Other Expenses,562500,562250,562500,0
Worker Empowerment Cabinet,Office of Workforce Development,OWD Admin,Contractual Services,#Missing,#Missing,#Missing,366174
Worker Empowerment Cabinet,Office of Workforce Development,OWD,Personnel Services,#Missing,#Missing,#Missing,3602535
Worker Empowerment Cabinet,Office of Workforce Development,OWD,Contractual Services,#Missing,#Missing,#Missing,3556834
Education Cabinet,Boston Public Schools,Alternative,Personnel Services,1719010.49,1968080.78,2583371,2632970
Education Cabinet,Boston Public Schools,Alternative,Contractual Services,8948.33,20988.99,26278,26278
Education Cabinet,Boston Public Schools,Alternative,Supplies & Materials,8157.96,20369.75,#Missing,14787
Education Cabinet,Boston Public Schools,Alternative,Equipment,2096,#Missing,#Missing,#Missing
Education Cabinet,Boston Public Schools,Early Learning Center,Personnel Services,14189560.54,15016634.39,18019808,19308466
Education Cabinet,Boston Public Schools,Early Learning Center,Contractual Services,224894.72,211074,387574,287833
Education Cabinet,Boston Public Schools,Early Learning Center,Supplies & Materials,169759.78,92289.42,147541,160499
Education Cabinet,Boston Public Schools,Early Learning Center,Equipment,4547,#Missing,31993,2900
Education Cabinet,Boston Public Schools,Elementary,Personnel Services,146358168.9,162017832.6,193547579,205423049
Education Cabinet,Boston Public Schools,Elementary,Contractual Services,1700743.79,1169445.29,806682,760099
Education Cabinet,Boston Public Schools,Elementary,Supplies & Materials,1274705.51,945678.18,858308,1067547
Education Cabinet,Boston Public Schools,Elementary,Current Charges & Obligations,#Missing,1940.84,11241,6500
Education Cabinet,Boston Public Schools,Elementary,Equipment,279671.9,225803.77,6000,7000
Education Cabinet,Boston Public Schools,Exam,Personnel Services,37892696.11,41069275.12,50150040,50593522
Education Cabinet,Boston Public Schools,Exam,Contractual Services,16988.57,39791.07,300,21200
Education Cabinet,Boston Public Schools,Exam,Supplies & Materials,235414.23,263397.98,188443,272737
Education Cabinet,Boston Public Schools,Exam,Current Charges & Obligations,12450,17450,#Missing,#Missing
Education Cabinet,Boston Public Schools,Exam,Equipment,7997.95,12841.14,#Missing,#Missing
Education Cabinet,Boston Public Schools,High,Personnel Services,111918421.7,129243275.9,167412954,174455717
Education Cabinet,Boston Public Schools,High,Contractual Services,1242003.32,1543782.95,1389537,1291323
Education Cabinet,Boston Public Schools,High,Supplies & Materials,808055.49,1206329.52,1602591,1073660
Education Cabinet,Boston Public Schools,High,Current Charges & Obligations,4999.55,11473.75,#Missing,#Missing
Education Cabinet,Boston Public Schools,High,Equipment,317313.67,146844.28,172904,10655
Education Cabinet,Boston Public Schools,K-12,Personnel Services,10698065.57,11888412.59,14788294,14918820
Education Cabinet,Boston Public Schools,K-12,Contractual Services,249138.73,#Missing,2700,22201
Education Cabinet,Boston Public Schools,K-12,Supplies & Materials,39335.84,33745.51,1611,1001
Education Cabinet,Boston Public Schools,K-12,Current Charges & Obligations,#Missing,133032,#Missing,#Missing
Education Cabinet,Boston Public Schools,K-12,Equipment,1048,#Missing,#Missing,#Missing
Education Cabinet,Boston Public Schools,K-8,Personnel Services,184376796.8,190063856.4,229918721,241374870
Education Cabinet,Boston Public Schools,K-8,Contractual Services,1162542.94,386979.82,1027554,1231812
Education Cabinet,Boston Public Schools,K-8,Supplies & Materials,1504622.48,1415155.48,789608,858014
Education Cabinet,Boston Public Schools,K-8,Equipment,260610.09,262997.02,6200,50000
Education Cabinet,Boston Public Schools,Middle,Personnel Services,16534744.54,10210003.15,11231381,6513995
Education Cabinet,Boston Public Schools,Middle,Contractual Services,79314,35680,49129,50000
Education Cabinet,Boston Public Schools,Middle,Supplies & Materials,65010.87,30935.48,21645,26511
Education Cabinet,Boston Public Schools,Middle,Equipment,2971.8,5600,5600,#Missing
Education Cabinet,Boston Public Schools,Middle/High,Personnel Services,30143915.17,34649658.99,43516760,45919539
Education Cabinet,Boston Public Schools,Middle/High,Contractual Services,1611360.68,1727000.59,210473,391358
Education Cabinet,Boston Public Schools,Middle/High,Supplies & Materials,117718.54,77542.91,74604,204749
Education Cabinet,Boston Public Schools,Middle/High,Equipment,335163.89,120122.33,58462,50000
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Personnel Services,18188364.97,18464005.15,23024559,21654505
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Contractual Services,557336.26,505321.37,788178,2181685
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Supplies & Materials,189521.81,174675.19,330481,238344
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Current Charges & Obligations,#Missing,10556,#Missing,13000
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Equipment,65397.65,67282.69,125062,57488
Education Cabinet,Boston Public Schools,Superintendent,Personnel Services,2270394.73,2802961.13,2772039,3338259
Education Cabinet,Boston Public Schools,Superintendent,Contractual Services,1138326.31,970488.27,372051,371400
Education Cabinet,Boston Public Schools,Superintendent,Supplies & Materials,17868.33,24526.3,24599,24499
Education Cabinet,Boston Public Schools,Superintendent,Current Charges & Obligations,#Missing,66.12,#Missing,#Missing
Education Cabinet,Boston Public Schools,Superintendent,Equipment,6771.3,4753.64,6561,21161
Education Cabinet,Boston Public Schools,Superintendent,Other Expenses,#Missing,#Missing,468079,468079
Education Cabinet,Boston Public Schools,Student Support Services (C),Personnel Services,51067334.63,52136594.87,68902923,72924591
Education Cabinet,Boston Public Schools,Student Support Services (C),Contractual Services,6968913.29,5877313.46,8398047,10491372
Education Cabinet,Boston Public Schools,Student Support Services (C),Supplies & Materials,334636.41,480844.04,561173,848089
Education Cabinet,Boston Public Schools,Student Support Services (C),Current Charges & Obligations,4800,7200,11566,22385
Education Cabinet,Boston Public Schools,Student Support Services (C),Equipment,119278.24,148187.48,361773,249935
Education Cabinet,Boston Public Schools,Strategy,Personnel Services,36475854.31,42694804.2,32339450,31145821
Education Cabinet,Boston Public Schools,Strategy,Contractual Services,9183476.52,7827628.26,11125901,10419223
Education Cabinet,Boston Public Schools,Strategy,Supplies & Materials,131410.07,391119.56,272693,387938
Education Cabinet,Boston Public Schools,Strategy,Current Charges & Obligations,42361.32,24357.1,21229,49892
Education Cabinet,Boston Public Schools,Strategy,Equipment,100318.47,107656.13,81450,79356
Education Cabinet,Boston Public Schools,Strategy,Other Expenses,646711.9,1745973.38,173663,173663
Education Cabinet,Boston Public Schools,School Committee,Personnel Services,204516.58,225079.01,271445,299285
Education Cabinet,Boston Public Schools,School Committee,Contractual Services,208591.35,130099.35,137152,136152
Education Cabinet,Boston Public Schools,School Committee,Supplies & Materials,3912.71,936.51,4179,1416
Education Cabinet,Boston Public Schools,School Committee,Equipment,1048,#Missing,1151,2000
Education Cabinet,Boston Public Schools,BPS Finance,Personnel Services,271720945.8,282841332.9,168901505,183971623
Education Cabinet,Boston Public Schools,BPS Finance,Contractual Services,47060954.79,19948020.08,24953142,24900836
Education Cabinet,Boston Public Schools,BPS Finance,Supplies & Materials,1892864.23,3003379.05,1946080,1455600
Education Cabinet,Boston Public Schools,BPS Finance,Current Charges & Obligations,1655603.91,1841045.87,19445954,5226738
Education Cabinet,Boston Public Schools,BPS Finance,Equipment,145651.91,383252.62,517512,727959
Education Cabinet,Boston Public Schools,Chief of Schools,Personnel Services,2683542.24,3112945.47,3381115,6166909
Education Cabinet,Boston Public Schools,Chief of Schools,Contractual Services,21974,488942.84,26657,139900
Education Cabinet,Boston Public Schools,Chief of Schools,Supplies & Materials,7681.3,47493.63,8167,15275
Education Cabinet,Boston Public Schools,Chief of Schools,Equipment,2233,1708783.7,3710,4916
Education Cabinet,Boston Public Schools,ASSET,Personnel Services,11227025.01,15161040.09,18304310,27638698
Education Cabinet,Boston Public Schools,ASSET,Contractual Services,9718732.33,11674138.68,14891372,25213259
Education Cabinet,Boston Public Schools,ASSET,Supplies & Materials,1896358.23,1417478.77,2452650,1583634
Education Cabinet,Boston Public Schools,ASSET,Current Charges & Obligations,1240,5302.85,35230,67520
Education Cabinet,Boston Public Schools,ASSET,Equipment,80646,1189901.74,143733,118456
Education Cabinet,Boston Public Schools,BPS Operations,Personnel Services,58844436.9,70118360.05,74341874,80214192
Education Cabinet,Boston Public Schools,BPS Operations,Contractual Services,174443907.6,193130380.3,201435911,208621408
Education Cabinet,Boston Public Schools,BPS Operations,Supplies & Materials,1655376.66,8031304.83,3874035,7242674
Education Cabinet,Boston Public Schools,BPS Operations,Current Charges & Obligations,4480086.52,6271647.24,6962740,13122115
Education Cabinet,Boston Public Schools,BPS Operations,Equipment,9866379.78,13986026.7,12678814,13376216
Education Cabinet,Boston Public Schools,Turnaround and Transformation,Personnel Services,225279.07,203970.38,420170,383266
Education Cabinet,Boston Public Schools,Turnaround and Transformation,Contractual Services,17702.31,#Missing,458226,143798
Education Cabinet,Boston Public Schools,Turnaround and Transformation,Equipment,#Missing,58,#Missing,#Missing
Education Cabinet,Boston Public Schools,Capital Planning Unit,Personnel Services,332782.33,714413.17,815145,1609804
Education Cabinet,Boston Public Schools,Capital Planning Unit,Contractual Services,3036535.57,377874.16,51000,32000
Education Cabinet,Boston Public Schools,Capital Planning Unit,Supplies & Materials,72.55,5713.54,#Missing,15000
Education Cabinet,Boston Public Schools,Capital Planning Unit,Current Charges & Obligations,182058.72,1978799.72,204649,#Missing
Education Cabinet,Boston Public Schools,Capital Planning Unit,Equipment,#Missing,707064.7,#Missing,8500
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Personnel Services,2784883.32,2065557.97,2405681.75,3100025.53
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Contractual Services,1945504.64,1053449.18,1135687.2,1338317
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Supplies & Materials,34094.81,14571.06,16300,16300
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Current Charges & Obligations,4668.15,4311.88,30621,10500
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Equipment,#Missing,3568.86,0,#Missing
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Other Expenses,#Missing,3500000,#Missing,#Missing
"Environment, Energy & Open Space Cabinet",Environment Department,"Office of Environment, Energy & Open Space",Personnel Services,#Missing,#Missing,645566.89,685341.29
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks & Recreation Administration,Personnel Services,2675185.25,2706862.55,2725208.95,2756980.9
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks & Recreation Administration,Contractual Services,475569.12,548292.37,436130,436130
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks & Recreation Administration,Supplies & Materials,35696.38,71170.25,29050,29050
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks & Recreation Administration,Current Charges & Obligations,519428.11,454601.8,435270.93,144365
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks & Recreation Administration,Equipment,52477.81,161730.15,81204.41,43227.92
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Personnel Services,9524414.58,9469211.62,9124198.5,8918953.95
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Contractual Services,4367356.72,5684867.47,5010954.96,5655059.96
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Supplies & Materials,943348.17,1138151.9,935633.33,897086.15
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Current Charges & Obligations,54695.29,3083.25,57597,63965
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Equipment,950423.29,1844283.31,1597982,1861721.02
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Other Expenses,2073559.72,962078.73,1401274,1401274
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Citywide Recreation,Personnel Services,881887.16,916538.48,1146933,1015268.89
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Citywide Recreation,Contractual Services,124264.98,182788.54,331097.81,153692
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Citywide Recreation,Supplies & Materials,209878.86,163151.43,57250,157250
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Citywide Recreation,Current Charges & Obligations,130425.08,100806.88,100484,100484
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Citywide Recreation,Equipment,3635.94,#Missing,#Missing,#Missing
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Design & Construction,Personnel Services,1308965.19,1382959.92,1889641.98,1703779.92
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Design & Construction,Contractual Services,6105419.15,2984279.67,943043.96,1022143.05
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Design & Construction,Supplies & Materials,750,500,750,750
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Design & Construction,Current Charges & Obligations,#Missing,83682,150907,0
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Animal Care & Control,Personnel Services,1212413.32,1225726.07,1413252.43,1633103.75
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Animal Care & Control,Contractual Services,137763.31,217412.52,180445,180445
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Animal Care & Control,Supplies & Materials,91253.93,82974.27,93220,93770.78
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Animal Care & Control,Current Charges & Obligations,657.48,9633.9,9306.59,9970
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Animal Care & Control,Equipment,10876.66,7194.1,70355.7,150913.11
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Urban Forestry,Personnel Services,#Missing,275564.6,994238.71,1177423.43
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Urban Forestry,Contractual Services,#Missing,418974.23,289449,477022
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Urban Forestry,Equipment,#Missing,#Missing,198551.92,185757.72
"Environment, Energy & Open Space Cabinet",Parks and Recreation,Urban Forestry,Other Expenses,#Missing,1423382,1635000,2115000
"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Personnel Services,1817343.46,1769244.78,1990706.36,1963183.81
"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Contractual Services,336724.13,453447.29,475139.89,564661.72
"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Supplies & Materials,72162.09,90804.41,104814.72,105419.83
"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Current Charges & Obligations,39458.8,47706.29,25071.17,12329
"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Equipment,128778.74,476266.3,211234.93,256352.74
"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Other Expenses,81551,33000,142075,142075
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Personnel Services,#Missing,1036515.94,1310426.02,1477383.14
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Contractual Services,#Missing,154103.51,100416,26800
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Supplies & Materials,#Missing,33876.69,28800,28800
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Current Charges & Obligations,#Missing,3540.86,6038,6000
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Equipment,#Missing,24660.98,#Missing,#Missing
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Personnel Services,#Missing,270908.83,518635.99,562387.33
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Contractual Services,#Missing,710437.11,833562.77,818550
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Supplies & Materials,#Missing,17527.76,16500,11500
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Current Charges & Obligations,#Missing,1616.84,2734,3600
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Equipment,#Missing,2715,#Missing,#Missing
Finance Cabinet,Office of Finance,A&F,Personnel Services,877574.82,1127838.39,1126811.38,1144929.21
Finance Cabinet,Office of Finance,A&F,Contractual Services,1506499.17,444081.13,800410,464965
Finance Cabinet,Office of Finance,A&F,Supplies & Materials,508.73,95.77,1250,1250
Finance Cabinet,Office of Finance,A&F,Current Charges & Obligations,2939.04,5492.68,2404,2400
Finance Cabinet,Office of Finance,A&F,Equipment,2652,10488.31,#Missing,#Missing
Finance Cabinet,Assessing Department,Assessing Operations,Personnel Services,2511237.11,2590879.79,2564081.66,2649947.68
Finance Cabinet,Assessing Department,Assessing Operations,Contractual Services,74206.45,112388.64,121632.8,214567
Finance Cabinet,Assessing Department,Assessing Operations,Supplies & Materials,61212.42,79485.08,66661.28,114200.01
Finance Cabinet,Assessing Department,Assessing Operations,Current Charges & Obligations,20292.54,35478.3,3018,5000
Finance Cabinet,Assessing Department,Assessing Operations,Equipment,#Missing,103457.5,0,#Missing
Finance Cabinet,Assessing Department,Valuation,Personnel Services,3189053.03,3120749.55,3729044.2,3264042.4
Finance Cabinet,Assessing Department,Valuation,Contractual Services,164960.47,337406.78,374532,374814
Finance Cabinet,Assessing Department,Valuation,Supplies & Materials,6750,7000,0,8500
Finance Cabinet,Assessing Department,Valuation,Current Charges & Obligations,156318.33,185816.93,207000,192000
Finance Cabinet,Assessing Department,Valuation,Equipment,118995,#Missing,#Missing,#Missing
Finance Cabinet,Assessing Department,Executive,Personnel Services,821912.19,791798.71,1225312.04,1252692.13
Finance Cabinet,Assessing Department,Executive,Contractual Services,148572.08,92342.91,222297.8,220905
Finance Cabinet,Assessing Department,Executive,Supplies & Materials,500,500,0,1000
Finance Cabinet,Assessing Department,Executive,Current Charges & Obligations,6551.28,8407.29,10000,10000
Finance Cabinet,Auditing Department,Auditing Administration,Personnel Services,556282.95,584700.74,655808.34,732184.59
Finance Cabinet,Auditing Department,Auditing Administration,Contractual Services,94599.57,107257.49,76392.2,82905.2
Finance Cabinet,Auditing Department,Auditing Administration,Supplies & Materials,6735.64,3715.76,2707,2707
Finance Cabinet,Auditing Department,Auditing Administration,Current Charges & Obligations,2720.26,32549.68,961,961
Finance Cabinet,Auditing Department,Auditing Administration,Equipment,#Missing,44747,#Missing,#Missing
Finance Cabinet,Auditing Department,Accounting,Personnel Services,509180.42,715109.79,842823.39,863078.81
Finance Cabinet,Auditing Department,Accounting,Contractual Services,208745.71,141895.38,81769,81824
Finance Cabinet,Auditing Department,Accounting,Supplies & Materials,841.14,1623.5,1757,1757
Finance Cabinet,Auditing Department,Accounting,Current Charges & Obligations,7205,26831.6,41973,41973
Finance Cabinet,Auditing Department,Central Payroll,Personnel Services,613985.53,629174.4,789984.46,654466
Finance Cabinet,Auditing Department,Central Payroll,Contractual Services,1291.6,2795.14,4099,126109
Finance Cabinet,Auditing Department,Central Payroll,Supplies & Materials,564.98,522.3,1400,1400
Finance Cabinet,Auditing Department,Central Payroll,Current Charges & Obligations,150,298,516,516
Finance Cabinet,Auditing Department,Grants Monitoring,Personnel Services,340109.47,378972.24,343550.59,343433.92
Finance Cabinet,Auditing Department,Grants Monitoring,Contractual Services,1674.7,1374.87,3991,5320
Finance Cabinet,Auditing Department,Grants Monitoring,Supplies & Materials,30.08,778.53,957,957
Finance Cabinet,Auditing Department,Grants Monitoring,Current Charges & Obligations,1050,75,455,455
Finance Cabinet,Auditing Department,Accounts Payable,Personnel Services,693097.55,769548.06,839268.43,923751.61
Finance Cabinet,Auditing Department,Accounts Payable,Contractual Services,2986.05,5999.18,10914.2,17568
Finance Cabinet,Auditing Department,Accounts Payable,Supplies & Materials,1257.33,1292.58,4707,4707
Finance Cabinet,Auditing Department,Accounts Payable,Current Charges & Obligations,2654.79,150,199,199
Finance Cabinet,Budget Management,Budget Administration,Personnel Services,802625.98,724437.24,857505.05,880898.96
Finance Cabinet,Budget Management,Budget Administration,Contractual Services,589032.24,440109.42,189172,200100
Finance Cabinet,Budget Management,Budget Administration,Supplies & Materials,3642.22,7880.69,5850,5850
Finance Cabinet,Budget Management,Budget Administration,Current Charges & Obligations,76745.22,50438.86,76461,76550
Finance Cabinet,Budget Management,Budget Administration,Equipment,22633.13,4174.26,#Missing,#Missing
Finance Cabinet,Budget Management,Budget & Management,Personnel Services,776336.92,859166.52,1073420.6,969306.17
Finance Cabinet,Budget Management,Budget & Management,Contractual Services,1530.33,3533.95,3510,6600
Finance Cabinet,Budget Management,Revenue Monitoring,Personnel Services,87835.44,75755.84,97691.1,109677.02
Finance Cabinet,Budget Management,Revenue Monitoring,Contractual Services,223.21,26.79,480000,530000
Finance Cabinet,Budget Management,External Resources,Personnel Services,#Missing,#Missing,#Missing,102774.86
Finance Cabinet,Budget Management,External Resources,Contractual Services,#Missing,#Missing,#Missing,2000
Finance Cabinet,Budget Management,Capital Budgeting,Personnel Services,351975.13,406269.86,447234.96,476912.48
Finance Cabinet,Budget Management,Capital Budgeting,Contractual Services,578.56,2150.58,2808,2400
Finance Cabinet,Budget Management,Capital Budgeting,Supplies & Materials,#Missing,#Missing,500,500
Finance Cabinet,Budget Management,Risk Management,Personnel Services,59311,116685.22,126546.42,132836.24
Finance Cabinet,Budget Management,Risk Management,Contractual Services,#Missing,#Missing,67970,650
Finance Cabinet,Budget Management,Risk Management,Current Charges & Obligations,58250,60250,70885,125425
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Personnel Services,#Missing,240000,239999.73,372322.93
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Contractual Services,#Missing,5000,5000,348246
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Supplies & Materials,#Missing,#Missing,#Missing,0
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Current Charges & Obligations,#Missing,#Missing,#Missing,10000
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Equipment,#Missing,5000,5000,1000
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Other Expenses,#Missing,1750000,1750000,1400754
Finance Cabinet,Pensions & Annuities - City,Pensions & Annuities - City,Personnel Services,3330307.039,5572230.1,4380000,4005000
Finance Cabinet,Procurement,Purchasing Administration,Personnel Services,960096.97,994831.71,1103854.34,1514850.15
Finance Cabinet,Procurement,Purchasing Administration,Contractual Services,20749.56,21516.88,217497.41,28093
Finance Cabinet,Procurement,Purchasing Administration,Supplies & Materials,5418.33,4856.07,7500,13475
Finance Cabinet,Procurement,Purchasing Administration,Current Charges & Obligations,15333.81,#Missing,4495,203400
Finance Cabinet,Procurement,Purchasing Administration,Equipment,24070.14,24070.14,24070.13,#Missing
Finance Cabinet,Procurement,Goods Procurement,Personnel Services,614427.96,511687.39,632562.56,617234.2
Finance Cabinet,Procurement,Goods Procurement,Contractual Services,127301.53,8059.05,8097.41,3073
Finance Cabinet,Procurement,Goods Procurement,Supplies & Materials,5276.99,7897.7,4975,1250
Finance Cabinet,Procurement,Goods Procurement,Current Charges & Obligations,2631.44,966.55,400,700
Finance Cabinet,Procurement,Goods Procurement,Other Expenses,#Missing,2962.5,#Missing,#Missing
Finance Cabinet,Procurement,Central Services,Personnel Services,307075.51,342045.04,298654.94,251986.46
Finance Cabinet,Procurement,Central Services,Contractual Services,32912.86,19099.86,27097.41,25704
Finance Cabinet,Procurement,Central Services,Supplies & Materials,1009.98,960.78,2750,750
Finance Cabinet,Procurement,Central Services,Current Charges & Obligations,#Missing,16623.6,150,200
Finance Cabinet,Procurement,Central Services,Equipment,17296,431273.4,#Missing,#Missing
Finance Cabinet,Procurement,Central Services,Other Expenses,104161.79,83190.05,6000,6000
Finance Cabinet,Procurement,Community Grantmaking,Personnel Services,#Missing,#Missing,462011.95,88164.13
Finance Cabinet,Procurement,Community Grantmaking,Contractual Services,#Missing,#Missing,200000,102475
Finance Cabinet,Procurement,Community Grantmaking,Current Charges & Obligations,#Missing,#Missing,#Missing,200
Finance Cabinet,Procurement,Procurement Planning and Support Services,Personnel Services,#Missing,#Missing,536601.94,594616.17
Finance Cabinet,Procurement,Procurement Planning and Support Services,Contractual Services,#Missing,#Missing,200000,111493
Finance Cabinet,Procurement,Procurement Planning and Support Services,Supplies & Materials,#Missing,#Missing,#Missing,250
Finance Cabinet,Procurement,Procurement Planning and Support Services,Current Charges & Obligations,#Missing,#Missing,#Missing,700
Finance Cabinet,Collecting Division,General Management,Personnel Services,617779.91,629017.24,644520.47,595373.67
Finance Cabinet,Collecting Division,General Management,Contractual Services,77386.31,89199.92,602600,624108
Finance Cabinet,Collecting Division,General Management,Supplies & Materials,11876.9,15231.62,19000,17500
Finance Cabinet,Collecting Division,General Management,Current Charges & Obligations,2391.11,31857.72,21650,11650
Finance Cabinet,Collecting Division,Special Collections,Personnel Services,448289.96,449293.64,538482.15,577638.69
Finance Cabinet,Collecting Division,Special Collections,Contractual Services,1983.92,3732.51,4800,12072
Finance Cabinet,Collecting Division,Special Collections,Supplies & Materials,1750,1500,2000,1500
Finance Cabinet,Collecting Division,Payment Services,Personnel Services,392110.84,409090.29,490772.82,493866.17
Finance Cabinet,Collecting Division,Payment Services,Contractual Services,375421.97,613603.33,4200,3780
Finance Cabinet,Collecting Division,Payment Services,Supplies & Materials,511383.76,515149.73,531750,570500
Finance Cabinet,Collecting Division,Payment Services,Equipment,11733.51,50927.8,20000,20000
Finance Cabinet,Collecting Division,Payment Services,Other Expenses,501258,425000,#Missing,#Missing
Finance Cabinet,Collecting Division,Accounting/Quality Control,Personnel Services,352997.34,344907.05,366815.03,372792.64
Finance Cabinet,Collecting Division,Accounting/Quality Control,Contractual Services,1180.34,2155.44,2100,0
Finance Cabinet,Collecting Division,Accounting/Quality Control,Supplies & Materials,250,250,250,250
Finance Cabinet,Treasury Division,Treasury Administration,Personnel Services,623739.92,586962.04,701309.29,648539.7
Finance Cabinet,Treasury Division,Treasury Administration,Contractual Services,144555.99,206492.55,249952.8,225324
Finance Cabinet,Treasury Division,Treasury Administration,Supplies & Materials,12414.69,15024.19,12414.69,12870
Finance Cabinet,Treasury Division,Treasury Administration,Current Charges & Obligations,6225.4,18662.39,10232.4,8473
Finance Cabinet,Treasury Division,General Service/Payroll,Personnel Services,355007.09,375372.35,450512.15,436674.52
Finance Cabinet,Treasury Division,General Service/Payroll,Contractual Services,15874.21,3937.92,17659.22,14849
Finance Cabinet,Treasury Division,General Service/Payroll,Supplies & Materials,246178.24,237302.06,246178.24,250663
Finance Cabinet,Treasury Division,General Service/Payroll,Equipment,#Missing,52444.7,#Missing,#Missing
Finance Cabinet,Treasury Division,Treasury Finance,Personnel Services,#Missing,#Missing,#Missing,307166.01
Finance Cabinet,Treasury Division,Treasury Finance,Contractual Services,#Missing,#Missing,#Missing,1404
Finance Cabinet,Treasury Division,Treasury Accounting,Personnel Services,124222.66,125480.52,217796.05,224579.53
Finance Cabinet,Treasury Division,Treasury Accounting,Contractual Services,351.78,1204.75,2410,2808
